CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A10.08.a_120_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[CRED_ABLG],HedgeFundStrategyType,1,CRED_ABLG
A10.08.a_120_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[CRED_ABLG],PrimaryStrategyFlag,0,
A10.08.a_120_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[CRED_ABLG],StrategyNAVRate,0,
A10.08.a_130_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MACR_MACR],HedgeFundStrategyType,1,MACR_MACR
A10.08.a_130_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MACR_MACR],PrimaryStrategyFlag,0,
A10.08.a_130_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MACR_MACR],StrategyNAVRate,0,
A10.08.a_140_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MANF_CTAF],HedgeFundStrategyType,1,MANF_CTAF
A10.08.a_140_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MANF_CTAF],PrimaryStrategyFlag,0,
A10.08.a_140_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MANF_CTAF],StrategyNAVRate,0,
A10.08.a_150_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[MANF_CTAQ],HedgeFundStrategyType,1,MANF_CTAQ
